,score,label_value,race,sex,model_id
0,1.0,1.0,WHITE,FEMALE,1
1,1.0,0.0,BLACK HISPANIC,MALE,1
2,1.0,0.0,BLACK,FEMALE,1
3,0.0,0.0,WHITE HISPANIC,MALE,1
4,1.0,0.0,BLACK,FEMALE,1
5,0.0,0.0,BLACK,FEMALE,1
6,1.0,0.0,BLACK,MALE,1
7,0.0,0.0,BLACK,MALE,1
8,1.0,0.0,BLACK,MALE,1
9,0.0,0.0,WHITE HISPANIC,MALE,1
10,1.0,0.0,BLACK,MALE,1
11,0.0,0.0,WHITE,MALE,1
12,1.0,0.0,WHITE,MALE,1
13,0.0,0.0,WHITE HISPANIC,MALE,1
14,1.0,0.0,WHITE,MALE,1
15,1.0,0.0,WHITE,FEMALE,1
16,1.0,0.0,BLACK,MALE,1
17,0.0,1.0,BLACK HISPANIC,MALE,1
18,1.0,1.0,WHITE HISPANIC,MALE,1
19,0.0,0.0,WHITE,MALE,1
20,1.0,0.0,WHITE,MALE,1
21,0.0,0.0,WHITE,MALE,1
22,1.0,0.0,WHITE,MALE,1
23,0.0,1.0,WHITE,MALE,1
24,1.0,0.0,BLACK,MALE,1
25,0.0,1.0,BLACK,FEMALE,1
26,1.0,0.0,BLACK,MALE,1
27,0.0,0.0,BLACK,MALE,1
28,1.0,0.0,BLACK,MALE,1
29,1.0,0.0,BLACK,MALE,1
30,1.0,0.0,WHITE HISPANIC,MALE,1
31,0.0,0.0,WHITE HISPANIC,MALE,1
32,1.0,0.0,WHITE,MALE,1
33,0.0,0.0,BLACK,MALE,1
34,1.0,0.0,BLACK,MALE,1
35,0.0,0.0,WHITE HISPANIC,FEMALE,1
36,1.0,1.0,BLACK,MALE,1
37,0.0,0.0,WHITE,MALE,1
38,1.0,0.0,BLACK,MALE,1
39,0.0,0.0,BLACK,MALE,1
40,1.0,0.0,WHITE HISPANIC,MALE,1
41,0.0,0.0,BLACK,MALE,1
42,1.0,0.0,WHITE,MALE,1
43,1.0,0.0,WHITE HISPANIC,MALE,1
44,1.0,0.0,WHITE HISPANIC,MALE,1
45,0.0,0.0,BLACK,MALE,1
46,1.0,0.0,BLACK,MALE,1
47,0.0,0.0,WHITE HISPANIC,MALE,1
48,1.0,0.0,WHITE HISPANIC,MALE,1
49,0.0,0.0,BLACK,MALE,1
50,1.0,0.0,WHITE HISPANIC,MALE,1
51,0.0,0.0,ASIAN/PAC.ISL,MALE,1
52,1.0,0.0,WHITE HISPANIC,FEMALE,1
53,0.0,0.0,BLACK,MALE,1
54,1.0,1.0,BLACK HISPANIC,MALE,1
55,0.0,0.0,BLACK,MALE,1
56,1.0,0.0,BLACK HISPANIC,FEMALE,1
57,1.0,0.0,BLACK,MALE,1
58,1.0,0.0,BLACK,MALE,1
