entity_id,label_value,score,education,gender,race
5794,1,1.0,HS-grad,Male,White
26705,0,1.0,Assoc-voc,Female,White
3474,0,1.0,Bachelors,Female,White
31797,0,1.0,Some-college,Male,White
26674,0,0.0,Bachelors,Male,White
12609,0,1.0,10th,Male,White
23116,0,1.0,Some-college,Male,White
4048,0,1.0,Some-college,Male,White
14792,0,1.0,HS-grad,Female,White
11543,0,1.0,HS-grad,Male,White
21909,0,1.0,Some-college,Male,White
5644,0,1.0,10th,Female,White
32462,1,0.0,HS-grad,Male,White
4272,0,1.0,Some-college,Male,White
22809,0,1.0,HS-grad,Male,White
29125,0,1.0,Some-college,Male,White
12337,1,1.0,Bachelors,Female,Black
1728,1,0.0,Masters,Female,White
12129,0,1.0,HS-grad,Male,Asian-Pac-Islander
26302,0,1.0,9th,Male,White
10170,0,1.0,Bachelors,Male,White
12288,1,0.0,Doctorate,Male,White
31981,0,1.0,HS-grad,Male,White
8201,0,1.0,Some-college,Male,White
30600,0,1.0,7th-8th,Male,White
4371,0,1.0,HS-grad,Male,White
14628,1,0.0,Some-college,Male,White
5974,0,1.0,HS-grad,Male,White
5465,0,1.0,Assoc-voc,Male,White
26157,0,1.0,HS-grad,Male,White
24579,0,1.0,HS-grad,Female,White
16733,0,1.0,HS-grad,Male,White
17059,0,1.0,Some-college,Male,Amer-Indian-Eskimo
12725,1,0.0,Bachelors,Male,Asian-Pac-Islander
30270,0,1.0,Some-college,Male,White
4534,0,1.0,HS-grad,Female,White
8898,0,0.0,Some-college,Male,Asian-Pac-Islander
31056,1,0.0,Bachelors,Female,White
31283,0,1.0,HS-grad,Female,White
8052,0,1.0,7th-8th,Male,White
11294,0,1.0,1st-4th,Male,White
7603,0,0.0,Bachelors,Male,White
19108,0,0.0,Bachelors,Male,White
2369,0,1.0,9th,Male,White
12184,0,1.0,Bachelors,Male,White
19415,0,1.0,Some-college,Male,White
17603,0,1.0,HS-grad,Male,White
7462,0,1.0,HS-grad,Female,White
8059,0,1.0,HS-grad,Male,Asian-Pac-Islander
