entity_id,score,label_value,race,sex,age_cat
1,0.0,0,Other,Male,Greater than 45
3,0.0,1,African-American,Male,25 - 45
4,0.0,1,African-American,Male,Less than 25
5,1.0,0,African-American,Male,Less than 25
6,0.0,0,Other,Male,25 - 45
7,0.0,0,Other,Male,25 - 45
8,1.0,1,Caucasian,Male,25 - 45
9,0.0,0,Other,Male,25 - 45
10,0.0,0,Caucasian,Female,25 - 45
13,0.0,1,Caucasian,Male,Less than 25
14,0.0,0,Caucasian,Male,25 - 45
15,1.0,1,African-American,Male,Less than 25
16,0.0,0,Caucasian,Female,25 - 45
18,0.0,0,African-American,Male,25 - 45
19,0.0,1,Caucasian,Female,Greater than 45
20,0.0,1,African-American,Male,25 - 45
21,0.0,0,Hispanic,Male,25 - 45
22,1.0,0,African-American,Male,25 - 45
23,1.0,1,Caucasian,Male,25 - 45
24,0.0,1,Caucasian,Male,25 - 45
25,1.0,1,African-American,Male,Greater than 45
26,1.0,1,African-American,Male,Less than 25
27,0.0,1,Caucasian,Male,25 - 45
28,0.0,0,Caucasian,Female,Less than 25
30,0.0,1,Hispanic,Male,Less than 25
32,0.0,0,Caucasian,Male,25 - 45
33,0.0,0,Other,Male,25 - 45
37,0.0,1,African-American,Male,25 - 45
38,0.0,0,Caucasian,Female,25 - 45
39,1.0,1,African-American,Male,25 - 45
40,1.0,1,African-American,Male,25 - 45
41,1.0,1,Caucasian,Male,25 - 45
42,1.0,1,African-American,Male,25 - 45
45,0.0,0,Caucasian,Male,Greater than 45
50,0.0,1,Other,Male,Greater than 45
51,1.0,0,Caucasian,Male,25 - 45
52,1.0,1,Caucasian,Female,25 - 45
53,0.0,1,Caucasian,Male,Less than 25
54,1.0,1,African-American,Male,25 - 45
55,0.0,0,Caucasian,Male,25 - 45
56,1.0,0,African-American,Female,Less than 25
57,0.0,0,African-American,Male,Greater than 45
59,0.0,1,Caucasian,Male,25 - 45
61,0.0,0,African-American,Female,Greater than 45
64,1.0,1,African-American,Male,25 - 45
66,1.0,1,Caucasian,Male,25 - 45
67,1.0,1,African-American,Male,25 - 45
68,0.0,0,Caucasian,Male,Greater than 45
69,0.0,1,African-American,Male,25 - 45
70,0.0,0,African-American,Male,25 - 45
71,0.0,1,Caucasian,Male,25 - 45
72,0.0,0,Other,Female,25 - 45
75,1.0,1,Caucasian,Male,Greater than 45
77,0.0,0,Hispanic,Female,Greater than 45
79,1.0,0,African-American,Male,25 - 45
80,0.0,1,African-American,Male,Less than 25
83,1.0,0,Hispanic,Male,25 - 45
84,0.0,0,African-American,Male,Greater than 45
85,1.0,0,Caucasian,Male,Greater than 45
87,0.0,0,African-American,Male,25 - 45
88,1.0,1,African-American,Male,Greater than 45
90,1.0,1,African-American,Male,25 - 45
91,0.0,1,Caucasian,Male,25 - 45
93,0.0,1,African-American,Male,Less than 25
95,1.0,1,African-American,Male,Less than 25
96,1.0,1,African-American,Male,25 - 45
97,0.0,0,Hispanic,Male,Greater than 45
98,1.0,1,African-American,Male,25 - 45
99,0.0,0,Other,Male,25 - 45
100,0.0,0,African-American,Female,Greater than 45
101,0.0,1,Hispanic,Male,Greater than 45
102,0.0,0,Hispanic,Male,Less than 25
105,0.0,0,African-American,Male,25 - 45
107,1.0,1,African-American,Male,25 - 45
108,1.0,1,Caucasian,Male,25 - 45
111,0.0,0,African-American,Male,25 - 45
113,0.0,1,African-American,Male,Less than 25
114,1.0,0,Caucasian,Male,Less than 25
115,0.0,1,African-American,Female,25 - 45
116,1.0,1,Caucasian,Male,25 - 45
119,0.0,0,African-American,Male,25 - 45
120,0.0,0,African-American,Male,25 - 45
122,1.0,1,African-American,Male,25 - 45
127,0.0,1,Other,Male,Greater than 45
128,1.0,1,African-American,Male,25 - 45
130,1.0,1,Other,Male,Less than 25
131,1.0,1,African-American,Male,Less than 25
132,1.0,1,African-American,Male,Less than 25
136,0.0,0,African-American,Female,25 - 45
137,1.0,1,African-American,Male,25 - 45
138,1.0,1,Caucasian,Male,25 - 45
139,1.0,1,Other,Male,Less than 25
142,1.0,1,Caucasian,Male,25 - 45
143,1.0,0,African-American,Male,Greater than 45
145,1.0,0,Caucasian,Female,Less than 25
146,0.0,1,Caucasian,Male,25 - 45
147,0.0,0,Caucasian,Male,Greater than 45
148,0.0,0,Caucasian,Female,Greater than 45
150,0.0,0,Hispanic,Female,25 - 45
151,0.0,1,African-American,Male,Less than 25
152,0.0,0,African-American,Male,Less than 25
153,0.0,0,African-American,Male,25 - 45
154,0.0,1,Caucasian,Female,25 - 45
156,1.0,1,Caucasian,Male,Less than 25
157,0.0,0,Caucasian,Male,25 - 45
158,1.0,0,Caucasian,Male,25 - 45
159,0.0,0,Caucasian,Female,25 - 45
160,1.0,1,African-American,Male,Greater than 45
163,0.0,0,Caucasian,Male,25 - 45
