score,label_value,race,sex
0.0,0.0,WHITE,FEMALE
1.0,0.0,BLACK HISPANIC,MALE
0.0,0.0,BLACK,FEMALE
1.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,BLACK,FEMALE
1.0,0.0,BLACK,FEMALE
1.0,0.0,BLACK,MALE
1.0,0.0,BLACK,MALE
1.0,0.0,BLACK,MALE
1.0,0.0,WHITE HISPANIC,MALE
1.0,0.0,BLACK,MALE
0.0,0.0,WHITE,MALE
0.0,0.0,WHITE,MALE
1.0,0.0,WHITE HISPANIC,MALE
1.0,0.0,WHITE,MALE
0.0,0.0,WHITE,FEMALE
1.0,0.0,BLACK,MALE
1.0,1.0,BLACK HISPANIC,MALE
1.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,WHITE,MALE
0.0,0.0,WHITE,MALE
0.0,0.0,WHITE,MALE
0.0,0.0,WHITE,MALE
0.0,1.0,WHITE,MALE
0.0,0.0,BLACK,MALE
1.0,1.0,BLACK,FEMALE
1.0,0.0,BLACK,MALE
0.0,0.0,BLACK,MALE
0.0,0.0,BLACK,MALE
1.0,0.0,BLACK,MALE
0.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,WHITE HISPANIC,MALE
1.0,0.0,WHITE,MALE
0.0,0.0,BLACK,MALE
0.0,0.0,BLACK,MALE
0.0,0.0,WHITE HISPANIC,FEMALE
0.0,0.0,BLACK,MALE
0.0,0.0,WHITE,MALE
1.0,0.0,BLACK,MALE
0.0,0.0,BLACK,MALE
1.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,BLACK,MALE
1.0,0.0,WHITE,MALE
1.0,0.0,WHITE HISPANIC,MALE
1.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,BLACK,MALE
1.0,0.0,BLACK,MALE
1.0,0.0,WHITE HISPANIC,MALE
1.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,BLACK,MALE
0.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,ASIAN/PAC.ISL,MALE
0.0,0.0,WHITE HISPANIC,FEMALE
0.0,0.0,BLACK,MALE
1.0,0.0,BLACK HISPANIC,MALE
1.0,0.0,BLACK,MALE
0.0,0.0,BLACK HISPANIC,FEMALE
0.0,0.0,BLACK,MALE
1.0,0.0,BLACK,MALE
1.0,0.0,BLACK,MALE
1.0,0.0,BLACK,MALE
0.0,0.0,WHITE,MALE
0.0,0.0,BLACK HISPANIC,MALE
0.0,0.0,WHITE,MALE
0.0,0.0,BLACK,MALE
0.0,0.0,BLACK,MALE
0.0,0.0,BLACK,MALE
1.0,0.0,BLACK,MALE
1.0,0.0,WHITE HISPANIC,MALE
1.0,0.0,WHITE HISPANIC,MALE
1.0,0.0,WHITE HISPANIC,MALE
1.0,0.0,WHITE,MALE
1.0,0.0,BLACK,MALE
1.0,0.0,WHITE HISPANIC,FEMALE
1.0,0.0,WHITE HISPANIC,FEMALE
0.0,0.0,BLACK,FEMALE
1.0,0.0,WHITE,MALE
1.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,ASIAN/PAC.ISL,MALE
1.0,0.0,BLACK,MALE
1.0,0.0,BLACK,MALE
0.0,0.0,ASIAN/PAC.ISL,MALE
0.0,0.0,BLACK,MALE
0.0,0.0,WHITE,MALE
1.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,BLACK,MALE
1.0,1.0,ASIAN/PAC.ISL,MALE
0.0,0.0,BLACK,MALE
1.0,0.0,BLACK,MALE
1.0,0.0,BLACK,MALE
0.0,0.0,BLACK,FEMALE
1.0,0.0,WHITE HISPANIC,MALE
1.0,0.0,WHITE HISPANIC,MALE
1.0,0.0,ASIAN/PAC.ISL,MALE
1.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,ASIAN/PAC.ISL,MALE
0.0,0.0,BLACK HISPANIC,MALE
0.0,0.0,BLACK,MALE
1.0,0.0,ASIAN/PAC.ISL,MALE
0.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,BLACK HISPANIC,MALE
0.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,ASIAN/PAC.ISL,MALE
0.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,ASIAN/PAC.ISL,MALE
1.0,0.0,ASIAN/PAC.ISL,MALE
0.0,0.0,BLACK HISPANIC,MALE
0.0,0.0,BLACK HISPANIC,FEMALE
0.0,0.0,WHITE,FEMALE
0.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,BLACK,FEMALE
0.0,0.0,WHITE HISPANIC,MALE
0.0,0.0,ASIAN/PAC.ISL,FEMALE
1.0,0.0,BLACK,MALE
