model_id,entity_id,score,rank_abs,rank_pct,label_value,race,gender,age
1,1,1,1,0.05,1,W,M,1
1,2,1,2,0.1,0,B,M,1
1,3,1,3,0.15,1,B,F,1
1,4,1,4,0.2,1,W,M,1
1,5,1,5,0.25,0,B,M,1
1,6,1,6,0.3,1,B,F,1
1,7,1,7,0.35,1,H,M,2
1,8,0,8,0.4,1,W,M,3
1,9,0,9,0.45,0,B,F,4
1,10,0,10,0.5,0,W,F,2
1,11,0,11,0.55,1,W,M,2
1,12,0,12,0.6,0,B,M,2
1,13,0,13,0.65,1,H,M,2
1,14,0,14,0.7,0,H,F,6
1,15,0,15,0.75,0,W,M,4
1,16,0,16,0.8,0,B,F,1
1,17,0,17,0.85,0,H,M,3
1,18,0,18,0.9,1,W,F,3
1,19,0,19,0.95,0,B,M,8
1,20,0,20,1,1,W,F,9
