entity_id,gender,race,education,label_value,score
0,5794,Male,White,HS-grad,1,1.0
1,26705,Female,White,Assoc-voc,0,1.0
2,3474,Female,White,Bachelors,0,1.0
3,31797,Male,White,Some-college,0,1.0
4,26674,Male,White,Bachelors,0,0.0
5,12609,Male,White,10th,0,1.0
6,23116,Male,White,Some-college,0,1.0
7,4048,Male,White,Some-college,0,1.0
8,14792,Female,White,HS-grad,0,1.0
9,11543,Male,White,HS-grad,0,1.0
10,21909,Male,White,Some-college,0,1.0
11,5644,Female,White,10th,0,1.0
12,32462,Male,White,HS-grad,1,0.0
13,4272,Male,White,Some-college,0,1.0
14,22809,Male,White,HS-grad,0,1.0
15,29125,Male,White,Some-college,0,1.0
16,12337,Female,Black,Bachelors,1,1.0
17,1728,Female,White,Masters,1,0.0
18,12129,Male,Asian-Pac-Islander,HS-grad,0,1.0
19,26302,Male,White,9th,0,1.0
20,10170,Male,White,Bachelors,0,1.0
21,12288,Male,White,Doctorate,1,0.0
22,31981,Male,White,HS-grad,0,1.0
23,8201,Male,White,Some-college,0,1.0
24,30600,Male,White,7th-8th,0,1.0
25,4371,Male,White,HS-grad,0,1.0
26,14628,Male,White,Some-college,1,0.0
27,5974,Male,White,HS-grad,0,1.0
28,5465,Male,White,Assoc-voc,0,1.0
29,26157,Male,White,HS-grad,0,1.0
30,24579,Female,White,HS-grad,0,1.0
31,16733,Male,White,HS-grad,0,1.0
32,17059,Male,Amer-Indian-Eskimo,Some-college,0,1.0
33,12725,Male,Asian-Pac-Islander,Bachelors,1,0.0
34,30270,Male,White,Some-college,0,1.0
35,4534,Female,White,HS-grad,0,1.0
36,8898,Male,Asian-Pac-Islander,Some-college,0,0.0
37,31056,Female,White,Bachelors,1,0.0
38,31283,Female,White,HS-grad,0,1.0
39,8052,Male,White,7th-8th,0,1.0
40,11294,Male,White,1st-4th,0,1.0
41,7603,Male,White,Bachelors,0,0.0
42,19108,Male,White,Bachelors,0,0.0
43,2369,Male,White,9th,0,1.0
44,12184,Male,White,Bachelors,0,1.0
45,19415,Male,White,Some-college,0,1.0
46,17603,Male,White,HS-grad,0,1.0
47,7462,Female,White,HS-grad,0,1.0
48,8059,Male,Asian-Pac-Islander,HS-grad,0,1.0
49,213,Male,Asian-Pac-Islander,HS-grad,0,1.0
50,31615,Male,White,Bachelors,0,0.0
51,4887,Female,Black,Assoc-acdm,0,1.0
52,7572,Male,White,HS-grad,1,0.0
53,2907,Female,White,HS-grad,0,1.0
54,249,Male,White,HS-grad,0,0.0
55,10508,Male,White,HS-grad,1,0.0
56,30756,Male,White,HS-grad,0,1.0
57,11494,Male,White,Bachelors,1,1.0
58,10348,Male,White,Bachelors,0,1.0
59,2622,Male,Amer-Indian-Eskimo,HS-grad,0,1.0
60,24738,Male,White,Masters,1,0.0
61,28675,Female,White,Bachelors,1,0.0
62,28162,Male,White,HS-grad,0,1.0
63,4859,Male,White,HS-grad,0,1.0
64,20855,Male,White,Some-college,0,1.0
65,13456,Male,White,7th-8th,0,1.0
